Serial_date,CO2 [ppmv]
1994-09-24-03:30,354.1814873
1994-10-01-18:00,354.8522236
1994-10-09-08:30,355.7021068
1994-10-16-23:00,356.637444
1994-10-24-13:30,357.5375602
1994-11-01-04:00,358.3352025
1994-11-08-18:30,359.2158867
1994-11-16-09:00,359.6599455
1994-11-23-23:30,359.9953204
1994-12-01-14:00,360.2828062
1994-12-09-04:30,360.5785408
1994-12-16-19:00,360.9166294
1994-12-24-09:30,361.3043094
1995-01-01-00:00,361.7281876
1995-01-08-14:30,361.5916951
1995-01-16-05:00,362.1463142
1995-01-23-19:30,362.2981203
1995-01-31-10:00,362.4310217
1995-02-08-00:30,362.5222028
1995-02-15-15:00,362.5903009
1995-02-23-05:30,362.6615081
1995-03-02-20:00,362.7628654
1995-03-10-10:30,362.9136545
1995-03-18-01:00,363.4800415
1995-03-25-15:30,363.7996221
1995-04-02-06:00,364.1463842
1995-04-09-20:30,364.4770079
1995-04-17-11:00,364.7326453
1995-04-25-01:30,364.8920648
1995-05-02-16:00,364.9190183
1995-05-10-06:30,364.7970457
1995-05-17-21:00,364.1999444
1995-05-25-11:30,363.8937259
1995-06-02-02:00,363.425487
1995-06-09-16:30,362.8270404
1995-06-17-07:00,362.101562
1995-06-24-21:30,361.2537916
1995-07-02-12:00,360.3133861
1995-07-10-02:30,359.3226038
1995-07-17-17:00,358.301894
1995-07-25-07:30,357.3317795
1995-08-01-22:00,356.5468021
1995-08-09-12:30,355.8714452
1995-08-17-03:00,355.404914
1995-08-24-17:30,355.1774119
1995-09-01-08:00,355.1936298
1995-09-08-22:30,355.4414236
1995-09-16-13:00,355.8949912
1995-09-24-03:30,356.5212968
1995-10-01-18:00,357.2714975
1995-10-09-08:30,358.1015209
1995-10-16-23:00,358.9154077
1995-10-24-13:30,359.7626282
1995-11-01-04:00,360.5377648
1995-11-08-18:30,361.2060834
1995-11-16-09:00,361.7409039
1995-11-23-23:30,362.1411694
1995-12-01-14:00,362.4396126
1995-12-09-04:30,362.66486
1995-12-16-19:00,362.8579316
1995-12-24-09:30,363.0523946
1996-01-01-00:00,363.2505704
1996-01-08-15:00,363.4978082
1996-01-16-06:00,363.7970892
1996-01-23-21:00,364.0661228
1996-01-31-12:00,364.3149004
1996-02-08-03:00,364.528126
